"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","13:01:49","703700391","912891039","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5daecdf9711b3c00120fd7c4","1","14352"
"103019","13:01:49","703700391","912891039","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","3339"
"103019","13:01:49","703700391","912891039","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","2570"
"103019","08:01:52","617103359","978640849","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db72ba3ae256f000d56c96b","1","11584"
"103019","08:01:52","617103359","978640849","5.0.14.0","1","2","demographics","age","0","0","0","0","29","1","4107"
"103019","08:01:52","617103359","978640849","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4189"
"103019","13:02:09","974310377","335847867","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d73e916515c8b001bed0c5d","1","4543"
"103019","13:02:09","974310377","335847867","5.0.14.0","1","2","demographics","age","0","0","0","0","30","1","2847"
"103019","13:02:09","974310377","335847867","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3297"
"103019","13:01:39","799973233","477740652","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d9c8a8033801b00145a6803","1","26843"
"103019","13:01:39","799973233","477740652","5.0.14.0","1","2","demographics","age","0","0","0","0","44","1","3436"
"103019","13:01:39","799973233","477740652","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5287"
"103019","13:02:00","17450497","950544410","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d9cec88ef665a001630b4cc","1","12972"
"103019","13:02:00","17450497","950544410","5.0.14.0","1","2","demographics","age","0","0","0","0","37 ","1","6561"
"103019","13:02:00","17450497","950544410","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4272"
"103019","08:02:11","419413427","981702513","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d54293959f4b10001686583","1","5133"
"103019","08:02:11","419413427","981702513","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","1914"
"103019","08:02:11","419413427","981702513","5.0.14.0","1","3","demographics","gender","0","0","0","0","F","1","2252"
"103019","13:02:03","440915494","650106134","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d78390692ac4000152356ca","1","13423"
"103019","13:02:03","440915494","650106134","5.0.14.0","1","2","demographics","age","0","0","0","0","22","1","2853"
"103019","13:02:03","440915494","650106134","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3579"
"103019","13:02:30","893435843","102328359","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d84a7367167930001fd3ea3","1","10999"
"103019","13:02:30","893435843","102328359","5.0.14.0","1","2","demographics","age","0","0","0","0","40","1","2673"
"103019","13:02:30","893435843","102328359","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3327"
"103019","08:00:27","95540799","657829893","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d681e3182455d00175cabc5","1","66187"
"103019","08:00:27","95540799","657829893","5.0.14.0","1","2","demographics","age","0","0","0","0","40","1","2385"
"103019","08:00:27","95540799","657829893","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3388"
"103019","13:02:41","170124688","638862874","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5ca9c2fd78037a000161046d","1","5748"
"103019","13:02:41","170124688","638862874","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","4387"
"103019","13:02:41","170124688","638862874","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","5153"
"103119","00:03:22","272019591","480893473","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d22ebc8db936c0015be7b3c","1","18458"
"103119","00:03:22","272019591","480893473","5.0.14.0","1","2","demographics","age","0","0","0","0","50","1","4123"
"103119","00:03:22","272019591","480893473","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","4186"
"103019","08:03:54","312500554","482386297","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da42ea540d1c50015ded274","1","5006"
"103019","08:03:54","312500554","482386297","5.0.14.0","1","2","demographics","age","0","0","0","0","42","1","3639"
